id,latitude,longitude,mean_ghi
1,45.5248379965819,7.89041572393781,163.41883561643834
2,45.5282359012659,7.92154815954993,169.9398401826484
3,45.4912358118865,7.92639076423516,153.38344748858447
4,45.5080406848508,7.90840607664662,169.41289954337898
5,45.5114329010992,7.93953606506502,170.96666666666667
6,45.4878413480679,7.89527172159021,157.36769406392693
7,45.5046405336408,7.87728459329219,153.89931506849314
8,45.4234165206154,7.65158518440308,158.55228310502284
9,45.4401796534709,7.63358786642299,165.92625570776255
10,45.4066458267637,7.66957689612498,161.00456621004565
11,45.4031894425499,7.63855057306011,165.56301369863013
12,45.4199544524321,7.62055652797015,162.0033105022831
13,45.0508072720867,7.18453571205899,131.2178082191781
14,45.0481907289209,7.32566159403581,161.20045662100458
15,45.0817426154405,7.28976641588738,145.79098173515982
16,45.0852697795469,7.32058565742659,155.32100456621004
17,45.0340502291411,7.20248918879706,157.0175799086758
18,45.0446671729991,7.29485541802851,142.61358447488584
19,45.057904273235,7.24610876486339,136.3027397260274
20,45.0543596243148,7.21531786468804,145.03470319634704
21,45.0614412119164,7.27690839852186,150.79223744292239
22,45.030495845566,7.171717925549,157.77134703196347
23,45.0782077273916,7.25895589195229,148.7134703196347
24,44.9969705222106,7.20761274334928,138.22591324200914
25,45.0711148071595,7.19736105331861,133.79463470319635
26,45.0137369439907,7.18966806667129,139.80456621004566
27,45.0675567888457,7.16657676676159,114.4857305936073
28,45.0375969161912,7.23326920132538,152.06164383561645
29,45.0746651223212,7.2281540997344,143.8574200913242
30,45.0472472234908,7.15376232101125,121.75662100456621
31,45.0411358997848,7.26405794909243,159.21723744292237
32,45.0172856634514,7.22043719594925,136.20068493150686
33,45.0649704334372,7.30771675157205,154.1195205479452
34,45.3997251982198,7.60753286689634,145.82260273972602
35,45.3962531006332,7.57652379221767,154.16164383561645
36,45.4130067428117,7.55852511800434,137.7595890410959
37,45.4164845242081,7.58953650097795,138.688698630137
38,45.1642469668744,8.03180139182181,161.37762557077625
39,45.1270867805616,8.03657395005424,156.7340182648402
40,45.181147663715,8.0139012325429,161.37762557077625
41,45.1675867044015,8.0628255490287,158.93698630136987
42,45.1473387683504,8.04969591247054,156.08664383561643
43,45.1844930696047,8.04492786472982,161.37762557077625
44,45.150672838616,8.08071758866475,158.06906392694063
45,45.1337514758494,8.09860398282002,159.81917808219177
46,45.1304230717385,8.06758479366365,158.92385844748858
47,45.1293719877274,7.37719593908164,168.67237442922374
48,45.1363793022708,7.43892144454109,147.32705479452054
49,45.1328795241043,7.40805435613186,167.27888127853882
50,45.0993010584494,7.44394951637781,166.36392694063926
